3,Apple credentials,EAS will ask for Apple ID + app-specific password,2 min,Generate at appleid.apple.com > Security, 
,,,,, 
NOTE: If doing manually (without EAS):,,,,, 
Manual Step 1,Create App ID,"developer.apple.com > Certificates, IDs & Profiles > Identifiers",5 min,Bundle ID: com.brickpro.app, 
Manual Step 2,Create Distribution Certificate,Certificates > + > Apple Distribution,10 min,Requires Mac + Keychain Access, 
Manual Step 3,Create Provisioning Profile,Profiles > + > App Store Distribution,5 min,Link certificate + App ID, 
,,,,, 
========================================,,,,, 
BUILD & DEPLOY STEPS,,,,, 
========================================,,,,, 
,,,,, 
Step,Action,Command,Time,Notes, 
1,Login to Expo,npx eas login,1 min,, 
2,Configure EAS,npx eas build:configure,2 min,, 
3,Build Preview (testing),npx eas build --platform ios --profile preview,15-20 min,Internal distribution for testing, 
4,Install on device,Scan QR from EAS dashboard or use Expo Go,2 min,Device must be registered, 
5,Test thoroughly,Test all features on real iPhone,30 min,Test payments/forms/navigation, 
6,Build Production IPA,npx eas build --platform ios --profile production,15-20 min,Generates .ipa for App Store, 
,,,,, 
--- APP STORE CONNECT SETUP ---,,,,, 
7,Login to App Store Connect,appstoreconnect.apple.com,1 min,Use Apple Developer account, 
8,Create New App,"My Apps > + > New App",5 min,"Fill: Platform (iOS), Name, Primary Language, Bundle ID, SKU", 
9,App Information,App Store > App Information,10 min,"Category: Business, Content Rights, Age Rating", 
10,Pricing & Availability,App Store > Pricing and Availability,5 min,"Select Free, Available in all territories (or India only)", 
11,App Privacy,App Store > App Privacy,15 min,Declare data collection (see DATA PRIVACY section), 
,,,,, 
--- STORE LISTING ---,,,,, 
12,Screenshots,App Store > Version > Screenshots,15 min,See SCREENSHOTS section, 
13,Description,App Store > Version > Description,10 min,See STORE LISTING section, 
14,Keywords,App Store > Version > Keywords,5 min,"brick,factory,kiln,production,management,business,sales", 
15,Support URL,https://brickpro.in/support,1 min,Required, 
16,Marketing URL,https://brickpro.in,1 min,Optional, 
,,,,, 
--- SUBMIT FOR REVIEW ---,,,,, 
17,Upload Build,npx eas submit --platform ios --latest,5 min,Or upload manually via Transporter app, 
18,Select Build,App Store Connect > Version > Build > Select uploaded build,2 min,Wait for processing (5-30 min), 
19,App Review Information,"Provide demo account: email: admin@factory.com, password: Admin@123",5 min,CRITICAL - Apple will test login, 
20,Submit for Review,Click "Submit for Review",1 min,, 
21,Wait for Review,Apple reviews the app,1-7 days,Average 24-48 hours, 
,,,,, 
========================================,,,,, 
STORE LISTING DETAILS,,,,, 
========================================,,,,, 
,,,,, 
Field,Content,Character Limit,Required,, 
App Name,BrickPro - Brick Factory Manager,30 chars,Yes,, 
Subtitle,Production Sales & Expense Tracker,30 chars,Yes (iOS only),, 
Description,"BrickPro is a complete brick factory management solution designed for brick kiln owners, managers, and supervisors in India.

PRODUCTION TRACKING
• Record daily brick production (raw & fired)
• Track by brick type and shift
• Monthly production summaries

SALES & DISPATCH
• Create sale challans with ticket numbers
• Track customer payments (paid/partial/credit)
• Automatic outstanding calculation

CUSTOMER MANAGEMENT
• Maintain customer database
• View outstanding balances
• Complete transaction history

LABOUR MANAGEMENT
• Daily attendance marking
• Per-brick rate & daily wage tracking
• Payment recording

EXPENSE TRACKING
• 12+ expense categories
• Payment mode tracking
• Monthly expense reports

REPORTS & ANALYTICS
• Monthly profit & loss
• Expense breakdown by category
• Top customers by revenue
• Sales vs expense comparison

ADDITIONAL FEATURES
• Multi-factory support
• Hindi & English language
• Dark mode
• Works offline
• Role-based access control",4000 chars,Yes,, 
Keywords,"brick,factory,kiln,production,management,business,sales,expense,labour,dispatch",100 chars total,Yes,, 
Primary Category,Business,,Yes,, 
Secondary Category,Productivity,,Optional,, 
Support URL,https://brickpro.in/support,,Yes,, 
Marketing URL,https://brickpro.in,,Optional,, 
Copyright,© 2024 BrickPro,,Yes,, 
,,,,, 
========================================,,,,, 
SCREENSHOTS REQUIRED,,,,, 
========================================,,,,, 
,,,,, 
Device,Size (pixels),Min Count,Max Count,Required, 
iPhone 6.7" (14 Pro Max),1290x2796,3,10,Yes, 
iPhone 6.5" (11 Pro Max),1242x2688,3,10,Yes (or 6.7"), 
iPhone 5.5" (8 Plus),1242x2208,3,10,Yes, 
iPad Pro 12.9" (6th gen),2048x2732,3,10,If supports iPad, 
iPad Pro 12.9" (2nd gen),2048x2732,3,10,If supports iPad, 
,,,,, 
Recommended Screenshots:,,,,, 
1,Dashboard with stats,Shows key metrics at a glance,,, 
2,Production entry,Shows brick production tracking,,, 
3,Sell Bricks / Dispatch,Shows sales challan creation,,, 
4,Customer list,Shows customer management,,, 
5,Reports,Shows monthly P&L report,,, 
6,Sidebar / Navigation,Shows all features available,,, 
,,,,, 
========================================,,,,, 
APP PRIVACY / DATA COLLECTION,,,,, 
========================================,,,,, 
,,,,, 
Data Type,Collected,Linked to Identity,Used for Tracking,Purpose
Contact Info - Name,Yes,Yes,No,App Functionality
Contact Info - Email,Yes,Yes,No,App Functionality
Contact Info - Phone,Yes,Yes,No,App Functionality
Identifiers - User ID,Yes,Yes,No,App Functionality
Usage Data - Product Interaction,Yes,Yes,No,App Functionality & Analytics
Financial Info - Payment Info,Yes,Yes,No,App Functionality (business records)
Photos or Videos,Yes,No,No,App Functionality (invoice uploads)
,,,,, 
========================================,,,,, 
COMMON REJECTION REASONS & FIXES,,,,, 
========================================,,,,, 
,,,,, 
Reason,Apple Guideline,Fix,Prevention, 
Crashes/Bugs,2.1 - Performance,Test on real devices before submit,Use TestFlight for beta testing, 
Incomplete Information,2.1 - Performance,Fill all metadata fields completely,Double-check all fields before submit, 
Login Required (no demo),2.1 - Performance,Provide demo credentials in Review Notes,Always include test account, 
Broken Links,2.1 - Performance,Ensure support/privacy URLs work,Test all URLs before submit, 
Misleading Description,2.3 - Accurate Metadata,Screenshots must match actual app,Take fresh screenshots each release, 
Privacy Policy Missing,5.1.1 - Data Collection,Add privacy policy URL,Host at your domain before submitting, 
Insufficient Purpose String,5.1.1 - Data Collection,"Explain WHY you need camera/photos (e.g., ""Upload invoices"")",Be specific in Info.plist descriptions, 
In-App Purchase Issues,3.1.1 - In-App Purchase,Use Apple's IAP for digital goods,Physical goods/services exempt from IAP, 
Minimum Functionality,4.2 - Minimum Functionality,App must provide enough value,Ensure all features work properly, 
Guideline 4.3 - Spam,4.3 - Spam,App must be unique and not a template,Customize UI and branding, 
,,,,, 
========================================,,,,, 
TESTFLIGHT (Beta Testing),,,,, 
========================================,,,,, 
,,,,, 
Step,Action,Details,Time, 
1,Upload build to App Store Connect,npx eas submit --platform ios,5 min, 
2,Go to TestFlight tab,App Store Connect > TestFlight,1 min, 
3,Add Internal Testers,TestFlight > Internal Testing > + Testers,5 min, 
4,Add External Testers (optional),TestFlight > External Testing > Create Group,5 min, 
5,Testers get invite,Email notification with TestFlight link,Automatic, 
6,Testers install via TestFlight app,Download TestFlight from App Store > Accept invite,2 min, 
7,Collect feedback,TestFlight shows crash reports + feedback,Ongoing, 
,,,,, 
========================================,,,,, 
POST-LAUNCH CHECKLIST,,,,, 
========================================,,,,, 
,,,,, 
Task,Details,Frequency,, 
Monitor Crashes,App Store Connect > Analytics > Crashes,Daily (first week),, 
Reply to Reviews,App Store Connect > Ratings and Reviews,Weekly,, 
Update App,Fix bugs + new features,Monthly,, 
Update Version,"Increment buildNumber in app.json, rebuild & submit",Per release,, 
Monitor Downloads,App Store Connect > Analytics > Downloads,Weekly,, 
Renew Developer Account,developer.apple.com > Account > Membership,$99/year,, 
Update Privacy Labels,If data collection changes,As needed,, 
,,,,, 
========================================,,,,, 
TIMELINE SUMMARY,,,,, 
========================================,,,,, 
,,,,, 
Phase,Duration,Details,, 
Developer Account Setup,1-2 days,Enrollment + Apple approval,, 
App Configuration,1 hour,app.json + eas.json setup,, 
Build & Test,2-3 hours,Build + TestFlight testing,, 
Store Listing Preparation,2-3 hours,Screenshots + descriptions + privacy,, 
Review Process,1-7 days,Apple review (avg 24-48 hrs),, 
,,,,, 
TOTAL TIME TO LIVE: 3-10 days,,,,, 
,,,,, 
========================================,,,,, 
ANNUAL RECURRING COSTS,,,,, 
========================================,,,,, 
,,,,, 
Item,Cost/Year,Notes,, 
Apple Developer Program,$99,Must renew or app gets removed,, 
EAS Build (if using paid),~$1188,Only if you need unlimited builds,, 
Domain + SSL,$10-15,For privacy policy / support page,, 
,,,,, 
MINIMUM ANNUAL COST: $99,,,,, 
