14,Create Release,Play Console > Release > Production > Create new release,5 min,, 
15,Upload AAB,Upload the .aab file from step 6,2 min,, 
16,Add Release Notes,"Write what's new (e.g., ""Initial release - Brick factory management app"")",5 min,, 
17,Review & Rollout,Review summary > Start rollout to Production,2 min,, 
18,Wait for Review,Google reviews the app,1-3 days,Usually 1-2 days for new apps, 
,,,,, 
--- ALTERNATIVE: EAS SUBMIT ---,,,,, 
19,Auto Submit,npx eas submit --platform android,5 min,Requires service account key, 
20,Create Service Account,"Google Cloud Console > IAM > Service Accounts > Create > Grant ""Service Account User"" role",10 min,Download JSON key, 
21,Configure EAS Submit,Add serviceAccountKeyPath to eas.json submit.production.android,2 min,, 
,,,,, 
========================================,,,,, 
STORE LISTING DETAILS,,,,, 
========================================,,,,, 
,,,,, 
Field,Content,Character Limit,Required,, 
App Name,BrickPro - Brick Factory Manager,30 chars,Yes,, 
Short Description,"Manage production, sales, labour & expenses for your brick factory",80 chars,Yes,, 
Full Description,"BrickPro is a complete brick factory management solution. Track daily production, manage customer sales with challans, monitor labour attendance & payments, record expenses, track fuel consumption, and view detailed profit/loss reports. Features: ✓ Production tracking (raw & fired bricks) ✓ Sales & dispatch management with challans ✓ Customer management with outstanding tracking ✓ Labour attendance & payment management ✓ Expenditure tracking by category ✓ Fuel consumption monitoring ✓ Monthly reports with P&L ✓ Multi-factory support ✓ Hindi & English language ✓ Works offline (PWA) Perfect for brick kiln owners, managers, and supervisors.",4000 chars,Yes,, 
Category,Business,From list,Yes,, 
Tags,"brick factory, kiln management, production tracker, business management",5 tags max,Yes,, 
Contact Email,support@brickpro.in,,Yes,, 
Contact Phone,#NAME?,,Optional,, 
Website,https://brickpro.in,,Optional,, 
,,,,, 
========================================,,,,, 
SCREENSHOTS REQUIRED,,,,, 
========================================,,,,, 
,,,,, 
Type,Size,Min Count,Recommended Screens,, 
Phone,1080x1920 or 1920x1080,2 (min),Dashboard - Production - Dispatch - Customers - Reports,, 
7-inch Tablet,1200x1920,Optional,Dashboard - Reports,, 
10-inch Tablet,1600x2560,Optional,Dashboard - Reports,, 
,,,,, 
========================================,,,,, 
DATA SAFETY DECLARATION,,,,, 
========================================,,,,, 
,,,,, 
Data Type,Collected,Shared,Purpose,Optional/Required, 
Name,Yes,No,Account creation,Required, 
Email,Yes,No,Login & notifications,Required, 
Phone Number,Yes,No,Login & contact,Required, 
App Activity,Yes,No,Analytics & functionality,Required, 
Financial Info (transactions),Yes,No,Business records,Required, 
Photos,Yes,No,Invoice/challan uploads,Optional, 
,,,,, 
========================================,,,,, 
POST-LAUNCH CHECKLIST,,,,, 
========================================,,,,, 
,,,,, 
Task,Details,Frequency,, ,
Monitor Crashes,Play Console > Quality > Android vitals,Daily (first week),, ,
Reply to Reviews,Play Console > Ratings and reviews,Weekly,, ,
Update App,Fix bugs + new features,Monthly,, ,
Update Version,"Increment versionCode in app.json, rebuild & upload",Per release,, ,
Monitor Installs,Play Console > Statistics,Weekly,, ,
Pre-launch Report,Play Console > Release > Pre-launch report,Per release,, ,
,,,,, 
========================================,,,,, 
COMMON REJECTION REASONS & FIXES,,,,, 
========================================,,,,, 
,,,,, 
Reason,Fix,Prevention,, ,
Missing Privacy Policy,Add privacy policy URL in app and Play Console,Always have one before submitting,, ,
Login Required (no test creds),Provide test account in App Access section,Always provide demo credentials,, ,
Crashes on launch,Test on multiple devices/emulators before submit,Use EAS preview builds for testing,, ,
Misleading metadata,Ensure screenshots match actual app,Take fresh screenshots before each release,, ,
Insufficient permissions justification,Explain why each permission is needed,Only request necessary permissions,, ,
